epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5975.68,0.70604,0.46803,1.10759,0.97411,0.93308,0.95953,0.82013,0.70294,0.47185,1.05638,0.00144145,0.00144145,0.00144145
43,6060.44,0.69693,0.45775,1.10942,0.98029,0.9326,0.9481,0.78731,0.76279,0.53411,1.08317,0.00143595,0.00143595,0.00143595
44,6144.04,0.69569,0.47218,1.11067,0.97528,0.94315,0.96524,0.82177,0.68914,0.44315,1.04429,0.00143045,0.00143045,0.00143045
45,6229.27,0.71811,0.49163,1.11691,0.98326,0.94339,0.96267,0.8152,0.74139,0.52457,1.08724,0.00142495,0.00142495,0.00142495
46,6313.89,0.66569,0.45013,1.09315,0.9622,0.93646,0.95854,0.81083,0.75168,0.57001,1.08401,0.00141945,0.00141945,0.00141945
47,6402.26,0.67049,0.44524,1.08948,0.96844,0.95303,0.96648,0.81181,0.72213,0.49772,1.05335,0.00141395,0.00141395,0.00141395
48,6492.97,0.68194,0.45667,1.09521,0.98607,0.94252,0.96191,0.81997,0.6899,0.4606,1.02161,0.00140845,0.00140845,0.00140845
49,6585.55,0.6811,0.46598,1.0999,0.98288,0.94901,0.96898,0.8298,0.66929,0.41945,1.00931,0.00140295,0.00140295,0.00140295
50,6683.76,0.70087,0.47224,1.10909,0.98241,0.93938,0.96279,0.82135,0.70439,0.4842,1.08229,0.00139745,0.00139745,0.00139745
51,6782.34,0.68868,0.46241,1.10025,0.98576,0.93415,0.96554,0.80932,0.70469,0.49486,1.05999,0.00139195,0.00139195,0.00139195
52,6874.15,0.68504,0.46289,1.10425,0.99001,0.91947,0.96145,0.80187,0.74371,0.50359,1.08266,0.00138644,0.00138644,0.00138644
53,6963.94,0.69987,0.45974,1.1078,0.97741,0.9506,0.96747,0.8244,0.6693,0.42943,1.01722,0.00138094,0.00138094,0.00138094
54,7058.08,0.67308,0.44592,1.09728,0.97961,0.93789,0.96553,0.81877,0.69676,0.45807,1.0675,0.00137544,0.00137544,0.00137544
55,7150.28,0.67689,0.44688,1.08669,0.97448,0.93526,0.96336,0.81513,0.70415,0.49627,1.06421,0.00136994,0.00136994,0.00136994
56,7248.31,0.71892,0.48076,1.11357,0.98443,0.94841,0.96964,0.81929,0.70846,0.48326,1.05282,0.00136444,0.00136444,0.00136444
57,7337.6,0.68896,0.45176,1.10438,0.98909,0.94315,0.96751,0.82011,0.70105,0.49236,1.04941,0.00135894,0.00135894,0.00135894
